title,author,coverUrl,openLibraryId,url
"#Girlboss","Sophia Amoruso","https://covers.openlibrary.org/b/id/7852153-L.jpg","OL26283758W","https://openlibrary.org/works/OL26283758W"
"102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers","Jim  Dwyer","https://covers.openlibrary.org/b/id/8004065-L.jpg","",""
"11/22/63","Stephen  King","https://covers.openlibrary.org/b/id/14652974-L.jpg","",""
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","https://covers.openlibrary.org/b/id/14394063-L.jpg","",""
"1984","George Orwell","https://covers.openlibrary.org/b/id/8745958-L.jpg","OL11326416W","https://openlibrary.org/works/OL11326416W"
"2 B R 0 2 B","Kurt Vonnegut Jr.","https://covers.openlibrary.org/b/id/13171869-L.jpg","OL39697982W","https://openlibrary.org/works/OL39697982W"
"96 Words for Love","Rachel  Roy","https://covers.openlibrary.org/b/id/8796653-L.jpg","",""
"A Bargain for Frances","Russell Hoban","https://covers.openlibrary.org/b/id/39109-L.jpg","OL74249W","https://openlibrary.org/works/OL74249W"
"A Beautifully Foolish Endeavor","Hank Green","https://covers.openlibrary.org/b/id/10198808-L.jpg","OL20876521W","https://openlibrary.org/works/OL20876521W"
"A Calamity of Souls","David Baldacci","https://covers.openlibrary.org/b/id/14574039-L.jpg","",""
"A Column of Fire","Ken Follett","https://covers.openlibrary.org/b/id/8465187-L.jpg","OL17788230W","https://openlibrary.org/works/OL17788230W"
"A Confederacy of Dunces","John Kennedy Toole","https://books.google.com/books/content?id=arZACPpQop4C&printsec=frontcover&img=1&zoom=2&source=gbs_api","",""
"A Confession","Bogdan Baran","https://covers.openlibrary.org/b/id/10467459-L.jpg","",""
"A Court of Frost and Starlight","Sarah J. Maas","https://covers.openlibrary.org/b/id/8569939-L.jpg","OL19655889W","https://openlibrary.org/works/OL19655889W"
"A Court of Mist and Fury","Sarah J. Maas","https://covers.openlibrary.org/b/id/14315081-L.jpg","OL17860744W","https://openlibrary.org/works/OL17860744W"
"A Court of Thorns and Roses","Sarah J. Maas","https://covers.openlibrary.org/b/id/8738585-L.jpg","OL17352669W","https://openlibrary.org/works/OL17352669W"
"A Court of Wings and Ruin","Sarah J. Maas","https://covers.openlibrary.org/b/id/8506724-L.jpg","",""
"A Dance with Dragons","George R.R. Martin","https://covers.openlibrary.org/b/id/11298743-L.jpg","OL1955906W","https://openlibrary.org/works/OL1955906W"
"A Darker Shade of Magic","Victoria Schwab","https://covers.openlibrary.org/b/id/13536323-L.jpg","",""
