title,author,isbn,openLibraryId,url,description
""#Girlboss"",""Sophia Amoruso"","""",""OL26283758W"",""https://openlibrary.org/works/OL26283758W"",
""102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers"",""Jim  Dwyer"",""0805080325"","""","""",
""12 Rules for Life: An Antidote to Chaos"",""Jordan B. Peterson"",""0345816021"","""","""","Duplicate of https://openlibrary.org/books/OL27241047M/12_Rules_For_Life_Paperback"
""2 B R 0 2 B"",""Kurt Vonnegut Jr."","""",""OL39697982W"",""https://openlibrary.org/works/OL39697982W"",
""2092 (The Chronos Files)"",""Rysa Walker"","""","""","""",
""96 Words for Love"",""Rachel  Roy"",""0316477788"","""","""",
""A Beautifully Foolish Endeavor"",""Hank Green"","""",""OL20876521W"",""https://openlibrary.org/works/OL20876521W"",
""A Calamity of Souls"",""David Baldacci"",""1538765020"","""","""",
""A Confession"",""Bogdan Baran"",""1598184717"","""","""",
""A Court of Frost and Starlight"",""Sarah J. Maas"","""",""OL19655889W"",""https://openlibrary.org/works/OL19655889W"",
""A Court of Mist and Fury"",""Sarah J. Maas"","""",""OL17860744W"",""https://openlibrary.org/works/OL17860744W"",
""A Court of Thorns and Roses"",""Sarah J. Maas"","""",""OL17352669W"",""https://openlibrary.org/works/OL17352669W"",
""A Court of Wings and Ruin"",""Sarah J. Maas"",""1408857901"","""","""","Looming war threatens all Feyre holds dear in the third volume of the #1 New York Times bestselling A Court of Thorns and Roses series.

Feyre has returned to the Spring Court, determined to gather information on Tamlin's manoeuvrings and the invading king threatening to bring Prythian to its knees. But to do so she must play a deadly game of deceit – and one slip may spell doom not only for Feyre, but for her world as well.

As war bears down upon them all, Feyre must decide who to trust amongst the dazzling and lethal High Lords – and hunt for allies in unexpected places.

In this thrilling third book in the #1 New York Times bestselling series from Sarah J. Maas, the earth will be painted red as mighty armies grapple for power over the one thing that could destroy them all."
""A Demon Bound"",""Debra Dunbar"","""",""OL19347438W"",""https://openlibrary.org/works/OL19347438W"",
""A Discovery of Witches"",""Deborah Harkness"",""0670022411"","""","""","**An epic, richly inventive, historically sweeping, magical romance.**

When historian Diana Bishop opens an alchemical manuscript in the Bodleian Library, it's an unwelcome intrusion of magic into her carefully ordered life. Though Diana is a witch of impeccable lineage, the violent death of her parents while she was still a child convinced her that human fear is more potent than any witchcraft. Now Diana has unwittingly exposed herself to a world she's kept at bay for years; one of powerful witches, creative, destructive daemons and long-lived vampires. 

Sensing the significance of Diana's discovery, the creatures gather in Oxford, among them the enigmatic Matthew Clairmont, a vampire genticist. Diana is inexplicably drawn to Matthew and, in a shadowy world of half-truths and old enmities, ties herself to him without fully understanding the ancient line they are crossing.

As they begin to unlock the secrets of the manuscript and their feelings for each other deepen, so the fragile balance of peace unravels."
