title,author,isbn,openLibraryId,url
"#Girlboss","Sophia Amoruso","","OL26283758W","https://openlibrary.org/works/OL26283758W"
"102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers","Jim  Dwyer","0805080325","",""
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","0345816021","",""
"2 B R 0 2 B","Kurt Vonnegut Jr.","","OL39697982W","https://openlibrary.org/works/OL39697982W"
"2092 (The Chronos Files)","Rysa Walker","","",""
"96 Words for Love","Rachel  Roy","0316477788","",""
"A Beautifully Foolish Endeavor","Hank Green","","OL20876521W","https://openlibrary.org/works/OL20876521W"
"A Calamity of Souls","David Baldacci","1538765020","",""
"A Confession","Bogdan Baran","1598184717","",""
"A Court of Frost and Starlight","Sarah J. Maas","","OL19655889W","https://openlibrary.org/works/OL19655889W"
"A Court of Mist and Fury","Sarah J. Maas","","OL17860744W","https://openlibrary.org/works/OL17860744W"
"A Court of Thorns and Roses","Sarah J. Maas","","OL17352669W","https://openlibrary.org/works/OL17352669W"
"A Court of Wings and Ruin","Sarah J. Maas","1408857901","",""
"A Demon Bound","Debra Dunbar","","OL19347438W","https://openlibrary.org/works/OL19347438W"
"A Discovery of Witches","Deborah Harkness","0670022411","",""
"A Dowry of Blood","S.T. Gibson","0316501077","",""
"A Farewell to Arms","Ernest Hemingway","0099910101","",""
"A Fine Balance","Rohinton Mistry","","OL2980902W","https://openlibrary.org/works/OL2980902W"
"A Limited Run","Karen McQuestion","1736788868","",""
"A Local Habitation","Seanan McGuire","0756405963","",""
"A Man Called Ove","Henning Koch","1476738017","",""
"A March of Kings","Morgan Rice","1939416051","",""
"A Midsummer Night’s Dream","Barbara A. Mowat","0743477545","",""
"A Month of Sundays","Liz Byrski","1743534949","OL20846984W","https://openlibrary.org/works/OL20846984W"
"A Mother's Reckoning: Living in the Aftermath of Tragedy","Sue Klebold","1101902760","",""
"A Perfect Blood","Kim Harrison","0061957895","",""
"A Portrait of the Artist as a Young Man","James Joyce","0142437344","",""
"A Prayer for Owen Meany","John Irving","0552135399","",""
"A Predator and A Psychopath","Jay Kerk","","OL29983080W","https://openlibrary.org/works/OL29983080W"
"A Quest of Heroes","Morgan Rice","","OL17046858W","https://openlibrary.org/works/OL17046858W"
"A Second Chance","Shayne Parkinson","1452303878","OL20901146W","https://openlibrary.org/works/OL20901146W"
"A Separate Peace","John Knowles","","OL4324502W","https://openlibrary.org/works/OL4324502W"
"A Stranger on the Beach","Michele Campbell","1250202531","",""
"A Talent for Murder","Peter  Swanson","0063205033","",""
"A Tip for the Hangman","Allison Epstein","0385546718","",""
"A Torch Against the Night","Sabaa Tahir","","OL20033776W","https://openlibrary.org/works/OL20033776W"
"A Twist in the Tale","Jeffrey Archer","0312933525","",""
"A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II","Sonia Purnell","","",""
